trt	ano	mes	recebidos
15	2006	5	3957
16	2006	5	942
17	2006	5	1249
18	2006	5	1000
19	2006	5	585
20	2006	5	445
21	2006	5	631
22	2006	5	571
23	2006	5	405
24	2006	5	641
1	2006	6	5773
2	2006	6	6595
3	2006	6	4324
4	2006	6	2810
5	2006	6	1170
6	2006	6	508
7	2006	6	703
8	2006	6	588
9	2006	6	2079
10	2006	6	1386
11	2006	6	250
12	2006	6	1307
13	2006	6	268
14	2006	6	248
15	2006	6	7438
16	2006	6	554
17	2006	6	275
18	2006	6	771
19	2006	6	341
20	2006	6	368
21	2006	6	620
22	2006	6	439
23	2006	6	491
24	2006	6	486
1	2006	7	13718
2	2006	7	8154
3	2006	7	4562
4	2006	7	3672
5	2006	7	2939
6	2006	7	1873
7	2006	7	354
8	2006	7	939
9	2006	7	2714
10	2006	7	1364
11	2006	7	1134
12	2006	7	1753
13	2006	7	524
14	2006	7	227
15	2006	7	5343
16	2006	7	616
17	2006	7	1338
18	2006	7	1071
19	2006	7	544
20	2006	7	389
21	2006	7	836
22	2006	7	475
23	2006	7	618
24	2006	7	565
1	2006	8	15399
2	2006	8	9666
3	2006	8	5563
4	2006	8	4498
5	2006	8	3329
6	2006	8	1933
7	2006	8	1045
8	2006	8	1259
9	2006	8	3662
10	2006	8	1369
11	2006	8	570
12	2006	8	1708
13	2006	8	835
14	2006	8	401
15	2006	8	2622
16	2006	8	971
17	2006	8	1313
18	2006	8	1199
19	2006	8	454
20	2006	8	422
21	2006	8	965
22	2006	8	368
23	2006	8	678
24	2006	8	597
1	2006	9	5332
2	2006	9	10911
3	2006	9	4399
4	2006	9	4259
5	2006	9	3044
6	2006	9	1570
7	2006	9	849
8	2006	9	768
9	2006	9	3259
10	2006	9	1059
11	2006	9	554
12	2006	9	1491
13	2006	9	635
14	2006	9	360
15	2006	9	8694
16	2006	9	636
17	2006	9	1067
18	2006	9	1093
19	2006	9	734
20	2006	9	377
21	2006	9	589
22	2006	9	466
23	2006	9	651
24	2006	9	577
1	2006	10	9901
2	2006	10	11007
3	2006	10	4375
4	2006	10	4630
5	2006	10	3195
6	2006	10	1496
7	2006	10	527
8	2006	10	1165
9	2006	10	3933
10	2006	10	1069
11	2006	10	751
12	2006	10	1756
13	2006	10	738
14	2006	10	298
15	2006	10	5480
16	2006	10	1055
17	2006	10	1293
18	2006	10	1149
19	2006	10	467
20	2006	10	356
21	2006	10	595
22	2006	10	700
23	2006	10	691
24	2006	10	579
1	2006	11	4761
2	2006	11	9179
3	2006	11	4815
4	2006	11	3958
5	2006	11	2786
6	2006	11	1540
7	2006	11	427
8	2006	11	907
9	2006	11	3420
10	2006	11	2015
11	2006	11	733
12	2006	11	1662
13	2006	11	531
14	2006	11	164
15	2006	11	4358
16	2006	11	706
17	2006	11	1094
18	2006	11	1030
19	2006	11	501
20	2006	11	320
21	2006	11	632
22	2006	11	526
23	2006	11	693
24	2006	11	633
1	2006	12	3431
2	2006	12	8084
3	2006	12	2788
4	2006	12	3097
5	2006	12	1972
6	2006	12	1224
7	2006	12	459
8	2006	12	765
9	2006	12	2094
10	2006	12	331
11	2006	12	481
12	2006	12	1104
13	2006	12	263
14	2006	12	217
15	2006	12	3117
16	2006	12	328
17	2006	12	791
18	2006	12	682
